"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"SH3YL1" -0.754063136364718 3.87435793535906 -5.62677720391001 3.37244474189197e-06 0.00142028101415679 4.45492164331263
"ZNF14" -0.698940259982386 3.66460474137969 -5.58345096440304 3.82175554637715e-06 0.00147993577426302 4.32509857045913
"TCIRG1" 0.569720892771157 9.0709430379645 5.57729452465264 3.89029850494508e-06 0.00147993577426302 4.32346802227869
"TXNDC17" 0.571882288510895 3.30811227358768 5.57726727962125 3.89060456259782e-06 0.00147993577426302 4.29564291210428
"ZNF568" -0.757493858573496 2.12696681117678 -5.64251199848661 3.22272816214644e-06 0.00142028101415679 4.16802589581197
"RPN1" 0.334562266760776 7.17512117515759 5.52458566913947 4.52995618190129e-06 0.00164475631001157 4.16512235736266
"COX6B1" 0.421587523459979 6.39396980266118 5.51905850963767 4.6028628078682e-06 0.00164475631001157 4.15001031285478
"STAT3" 0.368910929176323 8.13292758015588 5.47761587224563 5.18832547982224e-06 0.00179943335464894 4.04043893601852
"PSMB6" 0.334895622529507 5.67363991173197 5.45032705802633 5.61401962935033e-06 0.00183890331859164 3.96858180587467
"KIAA1328" -0.516399178002541 3.20614210693793 -5.45940882129601 5.46859840035392e-06 0.00183890331859164 3.95509136334886
"SECTM1" 0.948921080492796 7.0151194521596 5.41192905591705 6.27291987580143e-06 0.00199919651825542 3.85308564866245
"ZNF770" -0.569369933169666 4.22214519871595 -5.30051376505292 8.6565426422514e-06 0.00255194877093571 3.59110754377774
"PGK1" 0.449526231465613 8.58957356751908 5.31042133757809 8.41211569827131e-06 0.00255194877093571 3.58179252648968
"FLVCR2" 1.55054101957167 5.00078209359665 5.30068999955362 8.65213336402628e-06 0.00255194877093571 3.57399688624374
"GTF3C6" 0.402205910881449 4.50387392006781 5.28379795381098 9.08514103670039e-06 0.00258726506433905 3.5397484472632
"GK" 1.11130935756251 4.085732507828 5.2698213421448 9.45974959668865e-06 0.00258726506433905 3.50797865310772
"VDR" 0.891038612718014 4.75756282008645 5.27031037244034 9.44638526783604e-06 0.00258726506433905 3.49592078859833
"LPCAT3" 0.563439929873072 5.18871388321024 5.25501752434896 9.87338262341054e-06 0.00258726506433905 3.44113139841116
"REEP4" 0.427418882362441 5.63338812609207 5.25564315451389 9.85554146430962e-06 0.00258726506433905 3.43101461471212
"SPCS2" 0.430578062355299 4.84515905454906 5.23211241037816 1.05492795756335e-05 0.00259160634908064 3.38882640680013
"PDE7A" -0.491204420052242 6.27647586148503 -5.23998024915252 1.03120507222381e-05 0.00259160634908064 3.37955445507466
"TUBA1B" 0.528455976284394 7.95967718146742 5.2383152007895 1.03618059620773e-05 0.00259160634908064 3.37669850540858
"CLTB" 0.332658027663733 5.87690982903282 5.20941691851458 1.12645835915738e-05 0.00271085652473139 3.2979870325703
"GARRE1" -0.496935058463976 4.99651733409236 -5.17472822781046 1.24526080910047e-05 0.00283394043342392 3.23177850831087
"PACSIN2" 0.425521277147713 5.88994499241128 5.17971134331759 1.2274541369862e-05 0.00283394043342392 3.21548621848614
"PLEKHA1" -0.602804961422371 5.22356983418942 -5.166905832487 1.27373509982588e-05 0.00283394043342392 3.20398424266817
"ZNF84" -0.567611103888736 3.56442087760437 -5.13307741360706 1.40454967475036e-05 0.00306712032678819 3.12819990339163
